Ingreso_Anual_kUSD,Puntuacion_Gasto
68.78519149766176,82.72921579853315
25.459879622393945,21.80818012523817
27.573182260854484,72.79977756651508
80.79721092070113,77.88274533409636
72.07570939895449,80.10401513502326
39.26139092254469,21.78556285755873
78.46111228175101,87.70700903395458
29.426317792665504,72.53499532670584
89.14258251612017,78.03689507197704
71.50157029019115,71.4328600155111
32.85445255346583,70.36534764210958
31.20981135783017,14.468325129969859
31.044317975023777,24.57701058851037
32.712800217929825,24.877725635611796
22.938481493323543,16.77440122697438
95.08948720968424,94.92619608915805
23.111653160214544,67.40315017022994
86.01546426149419,73.97011068514009
83.23240685451631,74.28518865578906
30.22785919951907,82.93008408072676
28.541531251033618,10.062155426995536
24.61127611035347,71.99891561420603
24.245032112888484,20.435235341190857
26.42348145370016,75.3490104249501
31.082292947909874,78.31065337260523
28.327493820795258,71.53545202369673
32.57523843153024,77.21909714073114
34.32877597085061,79.24801048510513
26.400778958026457,12.682425259339407
26.991466938853016,18.90164056081244
30.33764102343962,19.820869804450243
27.188562353795138,26.781200142854114
82.4123787386689,83.30224741549199
27.671351232148716,19.071705116680914
29.421758588058797,16.489734530613237
27.62527344419522,79.49799937716625
76.63483741787712,82.77158567597581
31.87849009172836,18.50496324767066
28.829233126383322,25.154997612479754
29.93251387631033,27.38947022370758
32.524936394902284,72.05317621527894
92.39947524014032,85.71200395273674
73.7339736613101,83.78590099658835
24.93584439832788,19.63994939209833
27.682911535937688,17.60412881077355
80.54850379844822,73.14273954866974
26.741998261970917,68.81092250586576
30.93227157384714,77.94158603242288
97.52364500647982,86.61746599228819
49.2636574532736,78.87317026714669
70.10439431297534,72.92914051039094
25.310874800424386,72.57882963566874
79.72230584235805,86.57648127995591
32.483570765056164,21.620419846973974
33.431300951872565,80.8158187607748
70.65057569904374,95.17434386123158
26.996806550405974,20.45880388267751
33.69233289997705,20.4853877467402
22.607390048162863,18.039459234339212
64.64983027760766,72.20254663818143
21.93642064405174,75.05116530509794
27.278086377374088,6.901274479551278
30.55461294854933,24.10951252187612
22.876259068932715,27.82321827907003
82.07906235398738,81.38544740680946
30.984306179345616,22.56633716556678
86.25458297421848,83.0825390378307
28.815906966299956,67.84929311019684
35.285611131094576,21.305276360899448
69.43634709532579,81.22980084756422
33.25695625652899,69.87806179332856
24.7114453552205,17.40864890863176
26.69106767615806,76.40495933867517
32.803922631841175,79.58930973527389
80.48184167952822,89.26876463205923
72.64460612612957,78.2122977173932
38.82727120140549,79.0643105941948
73.58178184622705,81.85802957728802
28.8293152152541,24.656400595580994
81.47707086825844,70.03408977030409
35.677828200902994,74.702373219691
21.18479922318633,18.827064333124262
23.895781750144888,17.491214782077318
67.59469255147094,85.00533878212005
75.46961816317783,91.62827261725853
34.11272456051594,15.957531985534063
28.42365377679827,73.7371592430342
33.837173645764544,18.453938120743928
28.494481522053555,18.361689267011158
86.32825557634438,72.88388456299582
84.17553252493518,80.465669747568
41.573292833367546,82.20636644533057
83.78873944508145,83.85977932194548
40.71972044662663,85.66516687328134
33.169595111590056,65.23956100238749
70.15308546852836,67.88122220251309
27.65262807032524,21.65631715701782
20.433598776711012,14.018966879596647
30.409370696931614,75.65370288643045
35.44475298483683,77.31051737131635
37.61514928204013,23.05838144420434
31.571236662976368,25.01766448946012
23.359069755507846,17.351198981164806
91.22235448748879,79.38318632468717
19.874287066711965,74.24107452482208
37.896064077536955,15.803912383886807
34.770008817466014,58.79366329965464
31.788936801741418,68.69558022832477
33.23844269050346,16.615389998470206
99.70593689988229,73.43454145318631
78.70971430667193,82.34457978638945
30.321400095477316,75.99529847786735
68.6770340635967,82.00394280276701
33.79484610246634,68.76108409017576
27.696806145201062,21.48060138532288
34.26216667398112,71.88650240089703
79.78788899640627,86.29667682993961
26.73335383713144,76.53649760438304
75.9721947670704,101.76135333271695
79.40443267387066,85.25242886907064
90.45714203425942,86.85119035458777
30.85684140594985,24.843224952664446
82.06040312578212,70.46957202237881
81.81967947683303,76.42788038346383
31.71809144784231,20.025567283212304
86.50813773895736,73.22565025545276
32.56892975456105,71.4616526719061
27.640340671052833,70.09245674476024
28.871118497567323,27.690182832329846
81.39662250265471,83.7906633672943
23.99851796472112,76.78507742982524
33.39798874467338,73.0734320156912
20.201649380601122,21.643755548298422
26.037396307836495,73.95938874821363
29.308678494144075,18.074588597918417
77.25828386778585,74.55980222737207
26.348166841414315,75.56758672625624
35.26901026017452,80.16232630275573
82.3758773858655,70.85623761735502
26.13587392731214,83.16205651965818
77.4235078703546,79.41736869874502
84.69485675040217,82.21352639464016
20.663674037041257,67.82068924410281
32.024908554804774,78.14814420961807
37.32824384460777,21.80697802754207
72.72490036164209,73.47351772027649
32.5751763360433,81.33455574593312
21.375410837434835,24.062629111970992
67.14013412351018,81.71274995304164
35.41525621587638,85.61078098506317
